1,EXT NYC STREET  NIGHT,22
2,INT CAB  CONTINUOUS,26
3,INT TAXI CAB  NIGHT,12
4,INT TAXI CAB  NIGHT,168
5,EXT TERRACE  DAY,32
6,INT HOTEL ROOM  NIGHT,13
7,EXT PHILADELPHIA STREET  DAY,10
8,INT BUTCHER SHOP  DAY,6
9,EXT CEMENT YARD  DAY,6
10,INT CHILDHOOD BEDROOM  DAY,6
11,EXT SCHOOL YARD  DAY,6
12,INT CHILDHOOD BEDROOM  MORNING,9
13,INT CHILDHOOD BEDROOM  NIGHT,5
14,INT MASTER BEDROOM  MORNING,18
15,INT CHILDHOOD HOME  DAY,15
16,INT NURSERY  DAY,10
17,INT LIVING ROOM  DAY,71
18,INT HOTEL ROOM  NIGHT,6
19,INT LIVING ROOM  DAY,24
20,INT HOTEL ROOM  NIGHT,36
21,EXT BAR  CONTINUOUS,3
22,EXT HIGHWAY  DAY,4
23,INT BUS  CONTINUOUS,9
24,EXT ROCKEFELLER CENTER   DAY,7
25,INT NBC STUDIOS   DAY,11
26,INT NBC COMMISSARY  DAY,14
27,INT NBC PERSONNEL OFFICE  DAY,19
28,INT NEW YORK PUBLIC LIBRARY  DAY,4
29,INT BARRISS BEDROOM  NIGHT,22
30,INT BARRISS APARTMENT  AFTERNOON,34
31,INT BAR  NIGHT,26
32,INT BARRISS APARTMENT  NIGHT,7
33,INT BARRISS BEDROOM  EARLY MORNING,4
34,INT APARTMENT  DAY,15
35,INT COMMUTER TRAIN,10
36,INT TV STUDIO  DAY,10
37,INT OFFICE  DAY,12
38,EXT PALISADES PARK  NIGHT,10
39,INT BARRISS TENEMENT APARTMENT  NIGHT,11
40,INT TV STUDIO,40
41,INT FANCY RESTAURANT  NIGHT,35
42,INT DEBBIES BEDROOM  NIGHT,4
43,INT DEBBIES LIVING ROOM  NIGHT,110
44,INT BARRISS TENEMENT APARTMENT  DAY,4
45,INT TENEMENT APARTMENT  LATER,55
46,INT LEONARD GOLDBERGS OFFICE  DAY,12
47,EXT ABC BUILDING  DAY,47
48,EXT TERRACE  DAY,4
49,INT CHILDHOOD BEDROOM  DAY,61
50,EXT FRONT PORCH  DAY,33
51,EXT WASHINGTON SQUARE PARK  NIGHT,9
52,INT BAR  DAY,6
53,EXT BAR  DAY,33
54,INT DINER  DAY,83
55,EXT ABANDONED ARMY BASE  DAY,5
56,INT BASE REC ROOM  DAY,21
57,EXT BARRACKS  NIGHT,45
58,INT CLASSROOM  DAY,10
59,EXT FIELD  DAY,3
60,INT WORKSHOP  DAY,2
61,EXT MUDDY FIELD  NIGHT,2
62,INT LABORATORY  DAY,18
63,INT BUNKER  DAY,6
64,EXT BARRACKS  DAY,5
65,INT PLANE  DAY,4
66,EXT AIRSTRIP MEXICO CITY,4
67,INT CAFE  DAY,61
68,INT HOTEL BAR  NIGHT,53
69,INT MEXICAN HOTEL ROOM,5
70,EXT MEXICO CITY STREET  DAY,22
71,INT CAR  DAY,11
72,EXT FIELD  DAY,48
73,INT AIRPLANE  DAY,15
74,INT APARTMENT  EVENING,9
75,EXT FIELD  DAY,7
76,INT APARTMENT  EVENING,135
77,INT DATING GAME SET  DAY,19
78,INT DATING GAME SET  DAY,11
79,INT DATING GAME SET  DAY,8
80,INT BOARD ROOM  DAY,52
81,INT BAR  NIGHT,6
82,INT DATING GAME SET  DAY,38
83,EXT TERRACE  DAY,18
84,INT BARRISS OFFICE BARRIS PRODUCTIONS  DAY,96
85,INT DATING GAME SET  LATER,25
86,INT MARTONIS  DAY,97
87,INT BOOTH DATING GAME SHOW  DAY,49
88,EXT PICCADILLY CIRCUS  DAY,9
89,INT PUB  DAY,62
90,EXT WESTMINISTER ABBEY  DAY,7
91,EXT CHURCH COURTYARD  NIGHT,49
92,EXT TERRACE  DAY,8
93,INT LONDON HOTEL ROOM  NIGHT,2
94,INT BATHROOM  CONTINUOUS,11
95,INT HOTEL ROOM  CONTINUOUS,9
96,INT HOTEL ROOM  LATER,34
97,EXT KENNEDY AIRPORT  DAY,2
98,INT KENNEDY AIRPORT TERMINAL CUSTOMS  DAY,5
99,EXT AIRPORT TERMINAL  DAY,3
100,INT LIMO  CONTINUOUS,54
101,INT BARRIS PRODUCTIONS  DAY,35
102,EXT TERRACE  DAY,9
103,EXT MUSTANG CONVERTIBLE  DAY,26
104,INT FANCY HOUSE  A FEW MINUTES LATER,21
105,INT EMPTY LIVING ROOM  NIGHT,21
106,INT HOTEL ROOM  NIGHT,9
107,INT CHILDHOOD KITCHEN  NIGHT,8
108,INT DATING GAME SET  DAY,11
109,INT BARRISS OFFICE  MORNING,74
110,INT RANCHSTYLE LIVING ROOM  DAY,18
111,INT BARRISS LIVING ROOM  NIGHT,31
112,EXT LIQUOR STORE  NIGHT,6
113,INT BARRISS LIVING ROOM  A BIT LATER,37
114,INT MONICAS LIVING ROOM  LATER,38
115,INT MONICAS LIVING ROOM  A BIT LATER,4
116,EXT TERRACE  DAY,14
117,INT BARRIS PRODUCTIONS  DAY,16
118,INT BARRISS OFFICE  CONTINUOUS,41
119,INT AIRPLANE  DAY,5
120,EXT MEXICAN ALLEY  DAY,15
121,EXT SCULPTURE GARDEN UCLA  DAY,45
122,EXT TERRACE  DAY,4
123,EXT SCULPTURE GARDEN  DAY,37
124,INT BARRISS BEDROOM  NIGHT,9
125,EXT TERRACE  DAY,5
126,INT SEEDY HOTEL ROOM  NIGHT,7
127,INT BARRISS OFFICE  DAY,34
128,INT FAMILY GAME SET,4
129,INT BARRISS OFFICE  DAY,5
130,INT HOWS YOUR MOTHERINLAW SET,5
131,INT BARRISS OFFICE  DAY,4
132,INT DREAM GIRL SET,2
133,INT BARRISS OFFICE  DAY,4
134,INT GAME GAME SET,4
135,INT BARRISS OFFICE  DAY,7
136,INT BAR  NIGHT,49
137,INT BARRISS LIVING ROOM  NIGHT,35
138,EXT PENNYS APARTMENT BUILDING  NIGHT,3
139,INT APARTMENT HALLWAY  NIGHT,20
140,INT DINER  NIGHT,67
141,EXT MOUNTAIN ROAD  NIGHT,28
142,INT DATING GAME SET,9
143,EXT WEST BERLIN STREET  DAY,4
144,INT BEER HALL  NIGHT,35
145,INT TUNNEL  DAY,3
146,INT APARTMENT BATHROOM  DAY,6
147,EXT APARTMENT BUILDING  MOMENTS LATER,4
148,INT CAR RESIDENTIAL STREET  DAY,21
149,INT PARKED CAR  NIGHT,5
150,INT PARKED CAR  AFTERNOON,5
151,INT PARKED CAR  EVENING,22
152,INT HOTEL ROOM  MORNING,80
153,EXT EAST BERLIN STREET  EARLY MORNING,28
154,INT PICARDS CAR  CONTINUOUS,26
155,EXT QUIET EAST BERLIN STREET  EARLY MORNING,29
156,EXT BERLIN WALL  DAY,7
157,EXT CENTRAL PARK  DAY,32
158,INT REHEARSAL HALL  DAY,32
159,EXT FIELD  DAY,7
160,INT REHEARSAL HALL  DAY,33
161,INT GONG SHOW SET  DAY,42
162,INT BARRIS PRODUCTIONS  NIGHT,3
163,INT BARRISS OFFICE  CONTINUOUS,24
164,INT GONG SHOW SET  DAY,71
165,INT HOSPITAL ROOM  DAY,30
166,INT GONG SHOW SET  DAY,15
167,INT WINGS  CONTINUOUS,3
168,INT COFFEE SHOP  DAY,7
169,INT GONG SHOW SET  DAY,2
170,INT SUBURBAN LIVING ROOM  DAY,10
171,INT GONG SHOW SET  DAY,25
172,EXT SWIMMING POOL  DAY,13
173,INT BARRISS BEDROOM  LATE NIGHT,75
174,EXT LA SCALA PARKING LOT  EVENING,4
175,INT LA SCALA  EVENING,98
176,EXT TERRACE  DAY,5
177,EXT LA HOTEL  NIGHT,7
178,INT MARTONIS  NIGHT,96
179,INT BARRISS ROLLS ROYCE  NIGHT,25
180,INT GONG SHOW WINGS  DAY,24
181,INT GONG SHOW SET  CONTINUOUS,29
182,INT BARRISS OFFICE  DAY,31
183,INT CHILDHOOD BEDROOM  DAY,5
184,EXT FRONT PORCH  DAY,4
185,INT BAR  NIGHT,32
186,INT BAR  LATER,22
187,INT TRAIN  NIGHT,3
188,INT BARRISS BEDROOM  NIGHT,9
189,INT GONG SHOW SET  DAY,3
190,INT BARRISS OFFICE  NIGHT,9
191,EXT EAST BERLIN STREET  EARLY MORNING,6
192,INT BARRISS OFFICE  NIGHT,3
193,INT GONG SHOW SET  DAY,15
194,INT AUDITORIUM  NIGHT,22
195,INT BATHROOM  NIGHT,9
196,EXT TERRACE  DAY,9
197,INT BATHROOM  NIGHT,35
198,INT OFFICES OF GRACIE FILMS  DAY,13
199,INT CHATEAU MARMONT BUNGALOW  NIGHT,86
200,EXT SUNSET BLVD  NIGHT,84
201,EXT TERRACE  DAY,6
202,INT HOTEL ROOM  DAY,130
203,INT HOTEL ROOM  MORNING,65
204,EXT PLANE  DAY,1
205,EXT UNION OYSTER HOUSE BOSTON  NIGHT,1
206,INT UNION OYSTER HOUSE BOSTON,29
207,EXT WHARF  NIGHT,47
208,INT PATRICIAS HOTEL ROOM  NIGHT,49
209,INT QUIET CAFE  MORNING,15
210,INT CHAPEL  DAY,27
211,EXT CHAPEL  DAY,16
212,INT CAR  CONTINUOUS,39
